epoch,train_loss,val_loss,val_iou,val_f1,val_precision,val_recall,lr
1,0.7089,0.7312,0.2134,0.3512,0.3912,0.3189,0.001000
2,0.5612,0.5789,0.3089,0.4712,0.5098,0.4389,0.001000
3,0.4534,0.4712,0.3789,0.5489,0.5912,0.5123,0.001000
4,0.3912,0.4089,0.4234,0.5934,0.6312,0.5598,0.001000
5,0.3489,0.3712,0.4512,0.6189,0.6589,0.5834,0.001000
6,0.3189,0.3423,0.4723,0.6389,0.6745,0.6067,0.001000
7,0.2956,0.3198,0.4867,0.6512,0.6867,0.6198,0.001000
8,0.2801,0.3034,0.4978,0.6612,0.6956,0.6298,0.001000
9,0.2689,0.2912,0.5067,0.6698,0.7012,0.6415,0.001000
10,0.2578,0.2834,0.5112,0.6734,0.7045,0.6453,0.001000
11,0.2512,0.2789,0.5098,0.6723,0.7038,0.6441,0.000500
12,0.2389,0.2712,0.5112,0.6746,0.7056,0.6467,0.000500
13,0.2301,0.2689,0.5134,0.6756,0.7067,0.6477,0.000500
14,0.2256,0.2678,0.5112,0.6742,0.7054,0.6462,0.000500
15,0.2234,0.2701,0.5089,0.6723,0.7038,0.6441,0.000500
16,0.2198,0.2734,0.5067,0.6712,0.7023,0.6434,0.000250
17,0.2156,0.2756,0.5056,0.6698,0.7012,0.6421,0.000250
18,0.2134,0.2778,0.5045,0.6689,0.7001,0.6412,0.000250
